@relation 'TRAININGDATA-weka.filters.unsupervised.attribute.Remove-R1,3,5,7-12'

@attribute selectivity numeric
@attribute postgesEstCostMax numeric
@attribute postgesEstWidth numeric
@attribute numberOfWorkers numeric
@attribute realTime numeric

@data
100,2118702.57,357,4,200.042976
100,2126676.57,362,4,203.41813
1,837558.74,370,4,22.365486
100,2166546.57,370,4,218.018356
10,981116.46,378,4,54.37954
1,839516.74,386,4,26.573866
10,984352.46,386,4,45.497156
100,2222364.57,386,4,216.712617
0.1,794206.07,394,4,14.910336
0.1,794236.07,402,4,15.384229
1,840356.74,402,4,20.329907
10,987592.46,410,4,56.725602
0.1,794380.07,418,4,16.579145
10,992990.46,418,4,49.73507
100,2326032.57,426,4,234.297482
0.1,794814.07,442,4,15.265763
1,845946.74,442,4,25.716456
10,1009182.46,442,4,65.786357
0.1,794960.07,450,4,16.636172
1,847344.74,450,4,22.811016
10,1014580.46,450,4,62.847747
0.1,795104.07,458,4,15.870605
10,1025378.46,466,4,55.688783
1,851534.74,474,4,24.063078
0.1,795534.07,482,4,14.924553
1,852934.74,482,4,21.695795
10,1036170.46,482,4,63.586536
100,2605126.57,482,4,273.699009
0.1,795680.07,490,4,15.320889
1,854328.74,490,4,22.548539
10,1041570.46,490,4,59.895958
100,2644998.57,490,4,276.641864
0.1,795824.07,498,4,15.29421
1,855726.74,498,4,22.619458
10,1046968.46,498,4,60.203736
100,2684872.57,498,4,286.292569
1,857124.74,506,4,20.698089
10,1052362.46,506,4,63.534519
1,858524.74,514,4,23.057841
10,1057760.46,514,4,68.97081
100,2764616.57,514,4,286.027981
1,859916.74,522,4,20.900982
10,1063160.46,522,4,68.169889
0.1,796402.07,530,4,17.270878
1,861316.74,530,4,21.181544
10,1068558.46,530,4,70.205397
0.1,796402.07,538,4,17.965645
100,2844356.57,538,4,296.975735
0.1,799332.07,546,4,15.79422
1,864246.74,546,4,24.660701
100,2847286.57,546,4,308.727043
1,867176.74,554,4,22.394328
10,1074418.46,554,4,78.221298
0.1,805192.07,562,4,18.406392
1,870106.74,562,4,25.296938
100,2853146.57,562,4,302.754352
10,1080278.46,570,4,69.027789
0.1,811052.07,578,4,20.286793
10,1083208.46,578,4,76.335872
100,2859006.57,578,4,311.569149
0.1,811082.07,586,4,16.485783
1,876246.74,586,4,24.735465
1,879454.74,594,4,27.438686
10,1088296.46,594,4,75.469581
100,2877884.57,594,4,318.748686
10,1092306.46,602,4,74.994251
100,2888788.57,602,4,324.233704
10,1096316.46,610,4,71.952728
100,2899692.57,610,4,341.029004
0.1,822918.07,618,4,20.475351
1,889084.74,618,4,26.118707
10,1100326.46,618,4,83.144255
10,1102484.46,626,4,75.211234
100,2926546.57,626,4,334.909039
1,892152.74,634,4,25.257383
100,2944446.57,634,4,355.717835
0.1,826996.07,642,4,20.176053
1,894666.74,642,4,28.105483
10,1112056.93,650,4,85.395867
0.1,829020.13,658,4,19.286041
1,897299.29,658,4,24.666083
10,1115292.93,658,4,80.521975
0.1,831058.13,666,4,20.14495
1,900089.29,666,4,25.886253
10,1120484.93,666,4,82.037112
100,3009632.56,666,4,362.397135
0.1,833098.13,674,4,20.551057
10,1125678.93,674,4,93.36011
100,3035508.56,674,4,387.571314
1,904003.29,682,4,27.071041
0.1,468280.65,51,6,7.694999
1,479668.65,51,6,6.761325
10,499811.82,51,6,7.083186
100,682725.15,51,6,16.913611
0.1,471392.76,58,6,6.220482
100,723153.24,58,6,21.308139
0.1,474322.76,65,6,5.136811
100,726083.24,65,6,23.108435
0.1,474322.76,72,6,6.14812
100,726083.24,72,6,22.331735
0.1,480278.76,94,6,6.547472
10,519281.74,94,6,13.30513
100,751475.24,94,6,35.207766
100,771005.24,102,6,31.894216
10,524593.74,110,6,12.996527
100,790537.24,110,6,36.560579
10,527247.74,118,6,13.296558
100,810069.24,118,6,37.606153
0.1,480662.76,126,6,5.927366
1,498445.38,126,6,6.617196
0.1,480662.76,134,6,6.817948
1,498445.38,134,6,6.910384
10,529903.74,134,6,13.789291
100,829599.24,134,6,52.806466
1,499465.38,142,6,6.778155
100,849131.24,142,6,47.369147
1,501507.38,158,6,6.990115
10,537867.74,158,6,13.648458
100,888193.24,158,6,49.901979
1,502527.38,166,6,7.510833
10,540523.74,166,6,12.326225
100,907725.24,166,6,60.071737
0.1,481142.76,174,6,5.921475
1,503547.38,174,6,7.24019
0.1,481238.76,182,6,7.212897
1,504567.38,182,6,9.349518
1,505587.38,190,6,10.536231
1,506607.38,198,6,8.174257
100,985851.24,198,6,63.711945
0.1,481526.76,206,6,6.091109
10,553799.74,206,6,15.583768
0.1,481620.76,214,6,6.900951
100,1024913.24,214,6,69.625369
10,559109.74,222,6,17.319145
0.1,481812.76,230,6,6.747992
1,510687.38,230,6,8.197021
100,1063975.24,230,6,71.72406
0.1,481908.76,238,6,5.965241
1,511707.38,238,6,8.635937
10,567075.74,246,6,16.302614
10,569729.74,254,6,19.92731
