% 500 Queries for each compute version
@RELATION TRAININGDATA
@ATTRIBUTE numberTables NUMERIC
@ATTRIBUTE selectivity NUMERIC
@ATTRIBUTE postgesEstCostMin NUMERIC
@ATTRIBUTE postgesEstCostMax NUMERIC
@ATTRIBUTE postgesEstNumRows NUMERIC
@ATTRIBUTE postgesEstWidth NUMERIC
@ATTRIBUTE myriaConsumerCount NUMERIC
@ATTRIBUTE myriaShuffleCount NUMERIC
@ATTRIBUTE myriaJoinCount NUMERIC
@ATTRIBUTE myriaProducerCount NUMERIC
@ATTRIBUTE myriaScanCount NUMERIC
@ATTRIBUTE shuffleLoad NUMERIC
@ATTRIBUTE numberOfWorkers NUMERIC
@ATTRIBUTE realTime NUMERIC
@DATA
3,0.1,178724.45,647716.94,14787,388,1,2,2,1,3,1500000,4,11.06111693
3,100,178724.45,1269004.5,4082801,388,1,2,2,1,3,1500000000,4,178.8166225
3,100,180189.45,1279908.5,4082801,396,1,2,2,1,3,1500000000,4,177.5338218
3,0.1,181654.45,653634.94,14787,404,1,2,2,1,3,1500000,4,13.31942921
3,10,181654.45,739239.74,552707,404,1,2,2,1,3,150000000,4,34.459094
3,100,181654.45,1290814.5,4082801,404,1,2,2,1,3,1500000000,4,201.7843878
3,0.1,183119.45,656592.94,14787,412,1,2,2,1,3,1500000,4,12.11377556
3,1,183119.45,677263.1,143091,412,1,2,2,1,3,15000000,4,16.80975121
3,10,183119.45,743249.74,552707,412,1,2,2,1,3,150000000,4,45.9923763
3,100,183119.45,1301718.5,4082801,412,1,2,2,1,3,1500000000,4,185.7660423
3,0.1,184584.45,659552.94,14787,420,1,2,2,1,3,1500000,4,12.11535572
3,10,184584.45,747259.74,552707,420,1,2,2,1,3,150000000,4,42.40122151
3,100,184584.45,1312622.5,4082801,420,1,2,2,1,3,1500000000,4,183.4693206
4,0.1,194795.45,638796.26,14787,50,1,2,3,1,4,1500000,4,6.443011154
4,1,194795.45,649450.6,143091,50,1,2,3,1,4,15000000,4,10.94817595
4,100,194795.45,966425.01,4082801,50,1,2,3,1,4,1500000000,4,80.07574701
4,0.1,205049.45,659450.81,14787,101,1,2,3,1,4,1500000,4,7.170204405
4,10,205049.45,709460.81,552707,101,1,2,3,1,4,150000000,4,17.02444004
4,100,205049.45,1027442.51,4082801,101,1,2,3,1,4,1500000000,4,82.52111803
4,10,211885.45,737166.81,552707,151,1,2,3,1,4,150000000,4,18.20609311
4,1,213350.45,692150.6,143091,158,1,2,3,1,4,15000000,4,12.38349374
4,100,213350.45,1163019.01,4082801,158,1,2,3,1,4,1500000000,4,93.5150886
4,1,213350.45,692150.6,143091,165,1,2,3,1,4,15000000,4,10.54039319
4,100,213350.45,1163019.01,4082801,165,1,2,3,1,4,1500000000,4,99.89489726
4,1,214815.45,695080.6,143091,172,1,2,3,1,4,15000000,4,11.47998739
4,10,214815.45,745099.46,552707,172,1,2,3,1,4,150000000,4,23.35654929
4,0.1,216280.45,682344.26,14787,179,1,2,3,1,4,1500000,4,11.92636002
4,1,216280.45,698010.6,143091,179,1,2,3,1,4,15000000,4,14.75422701
